"timestamp","sys_time","abs_timestamp","raw_x_lin_acc","raw_y_lin_acc","raw_z_lin_acc"
"1275.0","1529263881949","256609993902556","-0.18290126","-0.19032848","-0.017959595"
"1280.0","1529263881968","256609998846403","-0.15260851","-0.17636728","-0.027026176"
"1285.0","1529263881968","256610003790251","-0.20706064","-0.16703641","-0.012434959"
"1289.0","1529263881968","256610008703581","-0.16608787","-0.22602403","-0.014513016"
"1295.0","1529263881970","256610014044157","-0.21239969","-0.17105138","-0.11101627"
"1299.0","1529263881979","256610018591276","-0.16824572","-0.17267597","-0.06278801"
"1304.0","1529263881979","256610023535124","-0.15718564","-0.20464408","-0.043330193"
"1309.0","1529263881983","256610028478972","-0.20492432","-0.17214167","-0.08547115"
"1314.0","1529263881990","256610033422819","-0.21418557","-0.13702738","0.0025024414"
"1319.0","1529263881993","256610038366667","-0.15927783","-0.09942806","-0.11803913"
"1324.0","1529263881998","256610043676726","-0.12107235","-0.144377","-0.08655071"
"1329.0","1529263882003","256610048254362","-0.07188906","-0.061534643","-0.031716347"
"1334.0","1529263882008","256610053198210","-0.06626431","-0.045445323","0.07694435"
"1339.0","1529263882012","256610058142058","-0.07794319","-0.05807829","0.019489288"
"1344.0","1529263882017","256610063085905","-0.0899438","-0.044875264","0.14666462"
"1349.0","1529263882022","256610068029753","-0.06663848","-0.04140687","0.09812164"
"1354.0","1529263882028","256610073339812","-0.08163612","-0.085375905","0.061808586"
"1359.0","1529263882033","256610077917448","-0.15803656","-0.12457311","0.03528118"
"1364.0","1529263882037","256610082861296","-0.13059175","-0.121222734","0.10814762"
"1369.0","1529263882042","256610087805144","-0.1417433","-0.14418054","0.17572308"
"1373.0","1529263882048","256610092748991","-0.21231806","-0.11060834","0.15071201"
"1378.0","1529263882052","256610097662321","-0.24947566","-0.18618453","0.111782074"
"1384.0","1529263882058","256610103002898","-0.2559298","-0.15757787","0.16763783"
"1388.0","1529263882062","256610107550017","-0.23570424","-0.17160964","0.15692902"
"1393.0","1529263882069","256610112493864","-0.23463239","-0.1715194","0.15341091"
"1398.0","1529263882072","256610117437712","-0.22861002","-0.15965712","0.18533802"
"1403.0","1529263882078","256610122381560","-0.17973277","-0.14320278","0.10606098"
"1408.0","1529263882083","256610127325407","-0.13057096","-0.17882109","0.11007118"
"1413.0","1529263882088","256610132665983","-0.16372353","-0.10086584","0.07392883"
"1418.0","1529263882091","256610137213103","-0.122548714","-0.07272744","0.059286118"
"1423.0","1529263882099","256610142156950","-0.11174513","-0.08000851","0.016414642"
"1428.0","1529263882102","256610147100798","-0.048513666","-0.027875304","-0.007255554"
"1433.0","1529263882107","256610152044646","-0.04197105","-0.086782694","0.08253765"
"1438.0","1529263882112","256610156988493","-0.044505633","0.0014173985","-7.686615E-4"
"1443.0","1529263882117","256610162298552","0.0313614","0.015998006","-0.03620529"
"1448.0","1529263882121","256610166876189","0.047425203","-0.02369988","-0.10205364"
"1453.0","1529263882127","256610171820036","0.06360182","-0.020425797","0.012031555"
"1457.0","1529263882133","256610176763884","0.07025267","0.011228442","-0.04244232"
"1462.0","1529263882138","256610181707732","0.11693467","0.021377087","0.021565437"
"1467.0","1529263882142","256610186651579","0.094634295","0.03372705","-0.009373665"
"1473.0","1529263882147","256610191961638","0.058215573","0.02231443","0.070898056"
"1477.0","1529263882153","256610196539274","0.030817479","-0.0034970045","-0.031226158"
"1482.0","1529263882156","256610201483122","0.059860617","0.022477388","0.04458618"
"1487.0","1529263882161","256610206396452","0.005501665","-0.0040580034","0.13869476"
"1492.0","1529263882170","256610211340300","-0.05109825","-0.082567096","0.062090874"
"1497.0","1529263882171","256610216284148","-0.050634667","-0.11098063","-0.020941734"
"1502.0","1529263882176","256610221594206","-0.083160065","-0.06609321","-0.030089378"
"1507.0","1529263882182","256610226171843","-0.113154225","-0.17251039","-0.041542053"
"1512.0","1529263882188","256610231176726","-0.17857131","-0.12698388","0.07929134"
"1517.0","1529263882191","256610236059538","-0.13517118","-0.10773504","0.07635689"
"1522.0","1529263882196","256610241003386","-0.101885915","-0.12645411","0.05220318"
"1527.0","1529263882202","256610245947233","-0.116146974","-0.1545676","0.09436035"
"1532.0","1529263882206","256610251257292","-0.10185446","-0.123524904","0.12673855"
"1537.0","1529263882211","256610255834929","-0.09200039","-0.17046523","0.09509373"
"1541.0","1529263882215","256610260748259","-0.05352536","-0.16034186","0.087319374"
"1546.0","1529263882220","256610265722624","0.0015239418","-0.124242306","0.10556793"
"1551.0","1529263882225","256610270666472","0.014021657","-0.08135927","0.14491463"
"1556.0","1529263882230","256610275610319","0.048076794","-0.055488467","0.10605812"
"1562.0","1529263882235","256610280920378","0.004438773","-0.07013142","0.16905785"
"1566.0","1529263882240","256610285467497","0.017864257","-0.10580981","0.0757246"
"1571.0","1529263882246","256610290411345","-0.03229709","-0.07527375","0.06581497"
"1576.0","1529263882252","256610295355192","0.012418613","-0.0640589","0.08197975"
"1581.0","1529263882255","256610300299040","0.004889399","-0.076752305","0.008337975"
"1586.0","1529263882265","256610305242888","-0.01676692","-0.084881306","-0.03632927"
"1591.0","1529263882268","256610310583464","-0.021733359","-0.06969917","-0.033364296"
"1596.0","1529263882269","256610315130583","0.03184837","-0.04029572","-0.1154356"
"1601.0","1529263882276","256610320074431","-0.061472222","-0.046759486","-0.03627777"
"1606.0","1529263882280","256610325018278","0.025226057","-0.0767231","-0.08289719"
"1611.0","1529263882285","256610329962126","0.016645566","-0.106359005","-0.15274715"
"1616.0","1529263882289","256610334905974","0.043466255","-0.08607113","-0.06623268"
"1621.0","1529263882296","256610340216032","0.030060083","-0.06830847","-0.07721996"
"1626.0","1529263882300","256610344793669","0.06155248","-0.06445837","-0.07164669"
"1630.0","1529263882305","256610349706999","0.07646647","-0.020433545","-0.11097717"
"1635.0","1529263882310","256610354650847","0.008834586","-0.063887835","-0.13584518"
"1640.0","1529263882315","256610359594694","0.038765326","-0.09260666","-0.08263302"
"1645.0","1529263882321","256610364538542","0.04498297","-0.019475818","-0.09833145"
"1651.0","1529263882325","256610369848601","-0.028988943","-0.062511206","-0.12571526"
"1655.0","1529263882329","256610374426237","0.0035494715","-0.055372357","-0.1458273"
"1660.0","1529263882335","256610379370085","0.03825049","-0.05294645","-0.05011177"
"1665.0","1529263882339","256610384313933","0.034853205","-0.06929588","-0.13225365"
"1670.0","1529263882344","256610389257780","0.036168247","-0.054770708","-0.15706635"
"1675.0","1529263882349","256610394201628","0.063405156","-0.059199333","-0.17931938"
"1680.0","1529263882355","256610399511687","0.13060142","-0.07062912","-0.22263718"
"1685.0","1529263882358","256610404089323","0.1307274","-0.048995852","-0.20421505"
"1690.0","1529263882364","256610409033171","0.14709471","-0.023044944","-0.18828106"
"1695.0","1529263882374","256610413977019","0.15104702","-0.04234135","-0.13469315"
"1700.0","1529263882375","256610418890349","0.17342737","-0.021445274","-0.116952896"
"1705.0","1529263882379","256610423834196","0.17178294","0.0015579462","-0.108795166"
"1710.0","1529263882384","256610429174773","0.13695692","-0.011097074","-0.15263271"
"1714.0","1529263882388","256610433721892","0.06935777","-0.011691928","-0.16543865"
"1719.0","1529263882394","256610438665739","0.05646117","-0.017058969","-0.18049335"
"1724.0","1529263882399","256610443609587","-0.03220038","-0.024607658","-0.16475868"
"1729.0","1529263882404","256610448553435","-0.012098819","-0.076759934","-0.0335207"
"1734.0","1529263882408","256610453497282","-0.009312332","-0.07644105","0.0021791458"
